X,Y,Z,Cu,HoleId,ClusterId
2946.3,5158.6,2442.3,0.72,58,0
3049.9,5207,2360.45,0.81,32,0
3097.8,5206,2346.3,0.46,27,0
3097.8,5206,2355.3,0.57,27,0
3097.8,5206,2352.3,0.57,27,0
3097.8,5206,2361.3,0.51,27,0
3097.8,5206,2343.3,0.46,27,0
3118.65,5206.9,2374.67,0.58,6,0
3097.8,5206,2379.3,0.65,27,0
3121.2,5206.9,2377.71,0.63,6,0
3126.1,5206.9,2383.55,0.65,6,0
3125.33,5206.9,2382.63,0.65,6,0
3129.56,5206.9,2387.67,0.66,6,0
3043.1,5254.6,2361,1.09,29,0
3043.1,5254.6,2352,0.85,29,0
3051.31,5207,2357.8,0.81,32,0
3047.09,5207,2365.75,0.81,32,0
3038.64,5207,2381.64,1,32,0
3044.27,5207,2371.04,0.87,32,0
3043.1,5254.6,2358,0.9,29,0
3012.65,5310,2357.27,0.94,67,0
3043.1,5254.6,2355,0.9,29,0
3043.1,5254.6,2343,0.78,29,0
3054.13,5207,2352.5,0.96,32,0
3056.95,5207,2347.2,0.93,32,0
3062.58,5207,2336.61,1.23,32,0
3150.8,5252.5,2382,0.74,70,0
3150.8,5252.5,2379,0.73,70,0
3150.8,5252.5,2373,0.78,70,0
3150.8,5252.5,2394,0.9,70,0
2964.05,5313.7,2383.38,1.34,78,0
2967.57,5313.7,2379.03,1.32,78,0
2988.05,5313.9,2365.5,1.56,25,0
2983.55,5313.9,2357.7,1.56,25,0
3010.72,5310,2354.97,0.94,67,0
2847.6,5461.4,2472.4,1.29,33,0
2897.42,5295.4,2366.36,0.78,63,0
2853.3,5365.2,2400.6,0.83,39,0
2894.73,5295.54,2369.58,0.68,63,0
2847.6,5461.4,2445.4,0.88,33,0
2908.21,5294.83,2353.49,0.71,63,0
2853.3,5365.2,2391.6,0.74,39,0
2853.3,5365.2,2403.6,0.86,39,0
2847.6,5461.4,2454.4,0.83,33,0
2974.03,5313.9,2341.21,1.21,25,0
2959.1,5465.9,2362.5,0.78,23,0
2904.26,5295.04,2358.2,0.68,63,0
2853.3,5365.2,2394.6,0.74,39,0
2853.3,5365.2,2418.6,0.89,39,0
2853.3,5365.2,2406.6,0.86,39,0
2847.6,5461.4,2463.4,1.06,33,0
2847.6,5461.4,2466.4,0.94,33,0
2958.3,5369.1,2375.7,0.96,37,0
2973.43,5313.9,2340.17,1.21,25,0
2977.55,5313.9,2347.31,1.45,25,0
